TaxonName;TaxonGroup;HRoverlap;GS;Dindex;N;s;Mindex;nM;nF;SocialSystem;Activity;Substrate;Habitat;PropLeaves;M_Dispersal;F_Dispersal;ID.LSex;n.LSex;Dis.LSex
Hylobates moloch;Hominoidea;0.08;3.315;2.192051086;1;0.1;0.37386407;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.38;Dispersal;Dispersal;Male;One;Dispersal
Hylobates muelleri;Hominoidea;0.11;3.4;1.202433624;1;0.1;0.160649624;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.32;Dispersal;Dispersal;Male;One;Dispersal
Hylobates pileatus;Hominoidea;0.264072848;3.35;1.110398349;1;0.1;0.148017346;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.27;Dispersal;Dispersal;NA;NA;NA
Indri indri;Lemuriformes;0.2515;3.25;1.871452096;1;0.1;0.350233295;1;1.165;sM-sF;Diurnal;Arboreal;Wooded;0.625;Dispersal;Dispersal;NA;NA;NA
Lagothrix lagotricha;Atelidae;0.84375;23.5;0.831745569;1;0.1;0.030607048;4.75;9.25;mM-mF;Diurnal;Arboreal;Wooded;0.155166667;Philopatry;Dispersal;Male;Multiple;Philopatry
Lemur catta;Lemuriformes;0.25;22;3.58207625;1;0.1;1.329665312;5.5;9;mM-mF;Diurnal;Terrestrial;Wooded;0.27;Dispersal;Philopatry;Female;Multiple;Philopatry
Leontopithecus chrysomelas;Cebidae;0.11;4.75;1.759799841;1;0.1;0.174694428;2;1.335;mM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;Multiple;Dispersal
Leontopithecus chrysopygus;Cebidae;0.43;3.5;0.692281991;1;0.1;0.037165906;1;1;sM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;NA;NA;NA
Leontopithecus rosalia;Cebidae;0.61;5;1.966000562;1;0.1;0.267260092;1.5;1.5;sM-sF;Diurnal;Arboreal;Wooded;0;Dispersal;Dispersal;Male;One;Dispersal
Lepilemur ruficaudatus;Lemuriformes;0.0721;2.5;9.019636344;2;0.1;17.89963471;1;1;sM-sF;Nocturnal/Cathemeral;Arboreal;Wooded;NA;Dispersal;Dispersal;Male;One;Dispersal
Lophocebus albigena;Papionini;0.56;17.25;0.496486161;1;0.1;0.02062749;4.75;6;mM-mF;Diurnal;Arboreal;Wooded;0.046;Dispersal;Philopatry;Male;Multiple;Dispersal
Lophocebus aterrimus;Papionini;0.675;19;NA;1;0.1;NA;3;5;mM-mF;Diurnal;Arboreal;Wooded;0.0965;Dispersal;Philopatry;Male;Multiple;Dispersal
Macaca fascicularis;Papionini;0.37;27.45;1.654405964;1;0.05;0.081555143;3.75;8.75;mM-mF;Diurnal;Arboreal;Wooded;0.186;Dispersal;Philopatry;Male;Multiple;Dispersal
Macaca fuscata;Papionini;0.569;34.5;1.187561731;1;0.05;0.042199368;7;10;mM-mF;Diurnal;Terrestrial;Wooded;0.283333333;Dispersal;Philopatry;Male;Multiple;Dispersal
Macaca mulatta;Papionini;0.655;37.485;0.54241328;1;0.05;0.009107196;3.5;10.92;mM-mF;Diurnal;Terrestrial;Wooded;NA;Dispersal;Philopatry;Male;Multiple;Dispersal
Macaca munzala;Papionini;0.477272727;17.5;NA;1;0.05;NA;4;5;mM-mF;Diurnal;Terrestrial;Wooded;0.11;NA;NA;NA;Multiple;NA
Macaca nemestrina;Papionini;0.79;45.3;0.664685164;1;0.05;0.049419057;2.4;14.9;mM-mF;Diurnal;Arboreal;Wooded;0.081;Dispersal;Philopatry;Male;Multiple;Dispersal
Macaca nigra;Papionini;0.85;69.33333333;1.371995133;1;0.1;0.078870278;6;20.66666667;mM-mF;Diurnal;Terrestrial;Wooded;0.025;Dispersal;Philopatry;Male;Multiple;Dispersal
Macaca radiata;Papionini;0.808;19;1.302635553;1;0.05;0.079100288;2;5;mM-mF;Diurnal;Terrestrial;Wooded;0.267;Dispersal;Dispersal;Male;Multiple;Dispersal
Macaca silenus;Papionini;0.427;12;1.258237597;1;0.1;0.097425345;1;5;sM-mF;Diurnal;Arboreal;Wooded;0;Dispersal;Philopatry;Male;One;Dispersal
Macaca sylvanus;Papionini;0.78;61;0.421975893;1;0.05;0.006212101;11;13;mM-mF;Diurnal;Terrestrial;Wooded;0.16;Dispersal;Philopatry;Male;Multiple;Dispersal
Nasalis larvatus;Colobinae;0.935;14.5;0.277834743;2;0.1;0.022133948;1.200828157;6.180124224;sM-mF;Diurnal;Arboreal;Wooded;0.823666667;Dispersal;Dispersal;Male;One;Dispersal
Nomascus concolor;Hominoidea;0.1;3.142857143;1.235175494;1;0.1;0.117358346;1;1.5;sM-sF;Diurnal;Arboreal;Wooded;0.63;Dispersal;Dispersal;Male;One;Dispersal
Nomascus hainanus;Hominoidea;0.21;6.2;0.326036735;1;0.1;0.025309513;1;1.8;sM-mF;Diurnal;Arboreal;Wooded;0.12;Dispersal;Dispersal;Male;One;Dispersal
Pan paniscus;Hominoidea;0.3454;52.75;0.33708567;2;0.1;0.012352546;12.25;14.5;mM-mF;Diurnal;Terrestrial;Wooded;0.195;Philopatry;Dispersal;Male;Multiple;Philopatry
Pan troglodytes schweinfurthii;Hominoidea;0.2825;38.375;0.99774354;2;0.1;0.051050881;8.875;12.5;mM-mF;Diurnal;Terrestrial;Wooded;0.17075;Philopatry;Dispersal;Male;Multiple;Philopatry
Pan troglodytes verus;Hominoidea;0.1016667;36.33333;0.660621546;2;0.1;0.027247921;4;12.66667;mM-mF;Diurnal;Terrestrial;Wooded;NA;Philopatry;Dispersal;Male;Multiple;Philopatry
Papio anubis;Papionini;0.8;50;1.018728459;1;0.1;0.02034917;4;17;mM-mF;Diurnal;Terrestrial;Open;0.165;Dispersal;Philopatry;Male;Multiple;Dispersal
Papio cynocephalus;Papionini;1;40;1.065537432;1;0.1;0.01924356;7;18;mM-mF;Diurnal;Terrestrial;Open;0.138333333;Dispersal;Philopatry;Male;Multiple;Dispersal
Papio hamadryas;Papionini;0.5;66;1.396374058;2;0.1;0.046773266;9;18;mM-mF;Diurnal;Terrestrial;Open;NA;Dispersal;Dispersal;Male;Multiple;Dispersal
Papio papio;Papionini;0.4787234;90;1.594265392;2;0.1;0.065171337;20;29;mM-mF;Diurnal;Terrestrial;Wooded;NA;Dispersal;Dispersal;Male;Multiple;Dispersal
Papio ursinus;Papionini;0.66575;50.42166667;1.532386909;1;0.1;0.039274287;7.57;16.15333333;mM-mF;Diurnal;Terrestrial;Open;0.19;Dispersal;Philopatry;Male;Multiple;Dispersal
Phaner furcifer;Lemuriformes;0.072;NA;NA;1;0.1;NA;1;1;sM-sF;Nocturnal/Cathemeral;Arboreal;Wooded;0;Dispersal;Dispersal;NA;NA;NA
Piliocolobus badius;Colobinae;0.476;35.212;0.956656191;1;0.1;0.142014268;4.95;12.384;mM-mF;Diurnal;Arboreal;Wooded;0.4495;Dispersal;Dispersal;Male;Multiple;Dispersal
Piliocolobus kirkii;Colobinae;0.6525;34.3;0.889500502;1;0.1;0.180848261;4.3;13.45;mM-mF;Diurnal;Arboreal;Wooded;0.58675;Dispersal;Philopatry;Male;Multiple;Dispersal
Piliocolobus pennantii;Colobinae;0.42;46;1.078740167;1;0.1;0.111892341;7;26;mM-mF;Diurnal;Arboreal;Wooded;0.725;Dispersal;Dispersal;NA;Multiple;NA
Piliocolobus rufomitratus;Colobinae;0.36;18;1.78131612;1;0.1;0.526216769;1.5;9.6;sM-mF;Diurnal;Arboreal;Wooded;0.6803;Dispersal;Dispersal;Male;One;Dispersal
Piliocolobus tephrosceles;Colobinae;0.99;44;0.71339976;1;0.1;0.078418986;4.5;8.5;mM-mF;Diurnal;Arboreal;Wooded;0.80625;Dispersal;Dispersal;Male;Multiple;Dispersal
Pithecia irrorata;Pitheciidae;0.158;4.7;1.472937691;1;0.1;0.217862304;1;2;sM-sF;Diurnal;Arboreal;Wooded;NA;Dispersal;Dispersal;Male;One;Dispersal
Pithecia pithecia;Pitheciidae;0.29;6;1.029670945;1;0.1;0.180494085;1;1;sM-sF;Diurnal;Arboreal;Wooded;0.085;Dispersal;Dispersal;Male;One;Dispersal
Presbytis comata;Colobinae;0.1;8;0.718824956;1;0.1;0.103341864;1;3;sM-mF;Diurnal;Arboreal;Wooded;0.67;Dispersal;Dispersal;Female;Multiple;Dispersal
