Species;Speciation_rate;Diversification_rate
Trachypithecus_phayrei;0.257160099577096;0.226382633241142
Trachypithecus_francoisi;0.297610784638037;0.261992094489459
Trachypithecus_poliocephalus;0.295889256169313;0.260476602200452
Trachypithecus_delacouri;0.285693579560726;0.251501165800627
Trachypithecus_hatinhensis;0.253884385403487;0.223498963489939
Trachypithecus_laotum;0.24411351720475;0.214897493528153
Semnopithecus_hector;0.263705933327909;0.232145047720312
Semnopithecus_entellus;0.250553366455494;0.22056660795709
Trachypithecus_johnii;0.268820426633152;0.236647427615323
Trachypithecus_pileatus;0.241241018743185;0.21236878177707
Trachypithecus_geei;0.249050124271808;0.219243276987388
Semnopithecus_priam;0.236526150165641;0.20821819867446
Trachypithecus_vetulus;0.226873884734578;0.199721136849472
Pygathrix_nemaeus;0.217016595511151;0.191043588914592
Pygathrix_cinerea;0.205775632705978;0.181147968387979
Pygathrix_nigripes;0.209651726475874;0.184560163031556
Simias_concolor;0.209340441326378;0.184286133149208
Nasalis_larvatus;0.197054202056645;0.173470337063085
Rhinopithecus_avunculus;0.209804473509723;0.184694628976309
Rhinopithecus_roxellana;0.197970903582257;0.174277325805139
Rhinopithecus_bieti;0.193237449778299;0.170110381795444
Rhinopithecus_brelichi;0.205020438630075;0.180483157541381
Presbytis_bicolor;0.299683036408638;0.263816334771442
Presbytis_rubicunda;0.282051186590329;0.24829470214902
Presbytis_melalophos;0.30213143706361;0.265971705641237
Presbytis_sumatranu;0.273207599707975;0.240509534508253
Presbytis_fredericae;0.288164054778476;0.25367596930269
Presbytis_comata;0.280764232141676;0.247161773139323
Presbytis_mitrata;0.263663975281745;0.232108111302136
Presbytis_potenziani;0.232100616459185;0.204322322231681
Presbytis_siberu;0.244077751907236;0.214866008697329
Presbytis_frontata;0.23585293795482;0.207625557929389
Presbytis_chrysomelas;0.232388145863599;0.204575439506922
Presbytis_hosei;0.23257001921818;0.204735545872544
Presbytis_femoralis;0.203767857390872;0.179380487882498
Presbytis_thomasi;0.186401401160915;0.164092485980686
Piliocolobus_tephrosceles;0.241945521400792;0.212988968061866
Piliocolobus_rufomitratus;0.230621470159206;0.2030202032992
Piliocolobus_foai;0.2193608920007;0.19310731502636
Piliocolobus_kirkii;0.217047441554308;0.191070743237857
Piliocolobus_gordonorum;0.214909255008894;0.189188459394805
Piliocolobus_preussi;0.226355333929078;0.199264647304588
Piliocolobus_pennantii;0.22316960199798;0.196460190530196
Piliocolobus_tholloni;0.211575447071281;0.186253648664532
Piliocolobus_badius;0.196816106968111;0.173260737699915
Procolobus_verus;0.186592977430017;0.164261133995433
Colobus_vellerosus;0.196110441230809;0.17263952753527
Colobus_polykomos;0.205927132767734;0.181281336600905
Colobus_guereza;0.175539541694966;0.154530596901313
Colobus_angolensis;0.186522760574663;0.164199320842307
Colobus_satanas;0.186078808924214;0.16380850226732
Hylobates_funereus;0.269570252462781;0.237307512698751
Hylobates_muelleri;0.284243319595005;0.250224476024631
Hylobates_abbotti;0.235679905858637;0.207473234681601
Hylobates_agilis;0.225851483780947;0.198821099011208
Hylobates_albibarbis;0.241418312638026;0.212524856762411
Hylobates_klossii;0.24069512777341;0.211888224196779
Hylobates_moloch;0.247602856481289;0.217969221276718
Hylobates_lar;0.198016343150227;0.174317327069205
Hylobates_pileatus;0.20004199219925;0.176100542142206
