Taxon	 Ref (17) 	 Ref (18) 	 Ref (3) 	 Ref (35) 	 Ref (63) 	 Ref (64) 	 Ref (65) 	 Ref (66) 	Social System	Mating System
Presbytis_comata	 -   	 -   	 -   	 -   	 -   	 UM 	 Harem 	 -   	Polygyny	Harem Polygyny
Presbytis_melalophos	 -   	 -   	 Harem 	 -   	 -   	 MM and UM 	 Harem 	 UM, MMMF 	Polygynandry	Harem Polygyny
Procolobus_verus	 -   	 -   	 MMMF 	 -   	 -   	 MM 	 MMMF 	 -   	Polygynandry	Polygynandry
Propithecus_diadema	 -   	 -   	 -   	 NP 	 -   	 Mon 	 -   	 PL , UM , MMMF 	Polygynandry	Polygynandry
Propithecus_verreauxi	 MM 	 -   	 MMMF 	 NP 	 Polygynous 	 MM 	 MMMF 	 PL , UM , MMMF 	Polygynandry	Polygynandry
Pygathrix_nemaeus	 -   	 -   	 -   	 -   	 -   	 MM and UM 	 Harem 	 UM, MMMF 	Polygynandry	Harem Polygyny
Saguinus_fuscicollis	 Mono 	 -   	 Mon 	 -   	 -   	 Mon and PA 	 PA 	 PL, UM, MMMF 	Pair	Polyandry
Saguinus_geoffroyi	 -   	 -   	 Mon 	 -   	 -   	 -   	 -   	 PL, UM, MMMF 	Pair	Monogamy
Saguinus_midas	 -   	 -   	 Mon 	 -   	 -   	 Mon and PA 	 PA 	 PL, UM, MMMF 	Pair	Polyandry
Saguinus_oedipus	 -   	 PA 	 Mon 	 -   	 Mono/PA 	 Mon and PA 	 PA 	 -   	Pair	Polyandry
Saimiri_oerstedii	 -   	 -   	 MMMF 	 -   	 -   	 MM 	 MMMF 	 -   	Polygynandry	Polygynandry
Saimiri_sciureus	 MM 	 MMMF 	 MMMF 	 -   	 Polygynous 	 MM 	 MMMF 	 -   	Polygynandry	Polygynandry
Semnopithecus_entellus	 -   	 Harem 	 Harem 	 -   	 -   	 MM and UM 	 MMMF 	 UM, MMMF 	Polygynandry	Harem Polygyny
Symphalangus_syndactylus	 -   	 -   	 Mon 	 -   	 -   	 Mon 	 Mon 	 PL 	Pair	Monogamy
Tarsius_bancanus	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 S 	Solitary	Spatial Polygyny
Tarsius_syrichta	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 S 	Solitary	Spatial Polygyny
Theropithecus_gelada	 -   	 Harem 	 Harem 	 -   	 -   	 UM 	 MMMF 	 UM 	Polygynandry	Harem Polygyny
Trachypithecus_cristatus	 -   	 Harem 	 Harem 	 -   	 -   	 UM 	 Harem 	 MMMF 	Polygynandry	Harem Polygyny
Trachypithecus_johnii	 -   	 -   	 Harem 	 -   	 -   	 UM 	 -   	 UM, MMMF 	Polygynandry	Harem Polygyny
Trachypithecus_obscurus	 -   	 Harem 	 Harem 	 -   	 -   	 MM and UM 	 Harem 	 MMMF 	Polygynandry	Harem Polygyny
Trachypithecus_phayrei	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 UM 	Polygyny	Harem Polygyny
Trachypithecus_pileatus	 -   	 -   	 -   	 -   	 -   	 UM 	 Harem 	 UM 	Polygyny	Harem Polygyny
Trachypithecus_vetulus	 -   	 -   	 Harem 	 -   	 -   	 UM 	 Harem 	 -   	Polygyny	Harem Polygyny
Varecia_variegata_variegata	 MM 	 -   	 -   	 Pair 	 Solitary 	 Mon 	 MMMF 	 MMMF 	Pair	Monogamy
